date,averageprice,totalvolume,4046,4225,4770,totalbags,smallbags,largebags,xlargebags,type,year,region,gst_avocado,gst_organic,gst_avocado_recipe,gst_avocado_toast,gst_avocado_sandwich,gst_organic_avocado,season
2015-01-04,1.68,2896.72,161.68,206.96,0.0,3504.58,2528.08,0.0,0.0,organic,2015,HarrisburgScranton,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.06,332208.14,6387.6,267593.62,223.15,58061.57,55401.31,2660.26,0.0,conventional,2015,HartfordSpringfield,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,2.32,4801.1,87.56,4364.01,0.0,349.53,349.53,0.0,0.0,organic,2015,HartfordSpringfield,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.71,1062990.62,463272.52,436347.57,4378.92,115837.55,90299.85,25537.7,0.0,conventional,2015,Houston,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.26,8938.32,7009.77,671.88,0.0,1256.67,1256.67,0.0,0.0,organic,2015,Houston,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.02,160130.15,4007.41,118435.79,2048.78,36485.45,20325.41,16160.04,78.05,conventional,2015,Indianapolis,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.63,1780.6,76.89,874.32,0.0,393.06,542.89,286.5,0.0,organic,2015,Indianapolis,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.97,153506.84,105203.79,19147.78,468.7,28686.57,13653.15,15033.42,0.0,conventional,2015,Jacksonville,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.81,1381.31,803.33,47.67,6.98,523.33,523.33,0.0,0.0,organic,2015,Jacksonville,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.8,317861.35,134003.07,120628.37,4591.23,58638.68,58126.59,512.09,0.0,conventional,2015,LasVegas,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.5,6329.83,3730.8,2141.91,0.0,457.12,426.67,30.45,0.0,organic,2015,LasVegas,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.85,2682159.95,1837999.65,617233.39,64225.78,255504.05,260857.96,36981.72,2950.53,conventional,2015,LosAngeles,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.25,54495.54,47721.51,1723.4,0.0,5050.63,5050.63,0.0,0.0,organic,2015,LosAngeles,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.92,101162.98,1991.63,75090.16,283.88,23797.31,7769.36,11299.66,0.0,conventional,2015,Louisville,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.48,1395.75,12.41,824.64,0.0,558.7,478.15,80.55,0.0,organic,2015,Louisville,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.97,540234.22,398670.03,54844.33,39.07,86680.79,38505.18,48175.61,0.0,conventional,2015,MiamiFtLauderdale,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.82,2288.44,1438.04,53.73,0.0,796.67,796.67,0.0,0.0,organic,2015,MiamiFtLauderdale,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.1,2578275.12,575245.44,1311502.53,181058.65,510468.5,429166.89,80986.81,314.8,conventional,2015,Midsouth,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.56,58065.35,10049.66,25228.37,3672.89,19114.43,17280.89,1833.54,0.0,organic,2015,Midsouth,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.07,162162.75,113865.83,11083.58,11699.03,25514.31,19681.13,5611.51,221.67,conventional,2015,Nashville,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.84,3966.0,244.34,2700.02,76.21,945.43,838.34,3.11,0.0,organic,2015,Nashville,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.94,222751.51,148384.22,14085.72,218.63,60062.94,54422.22,5640.72,0.0,conventional,2015,NewOrleansMobile,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.41,2604.25,220.61,23.64,0.0,2360.0,2360.0,0.0,0.0,organic,2015,NewOrleansMobile,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.09,1018225.83,23641.0,1127882.44,1871.07,249495.69,178683.01,70812.68,0.0,conventional,2015,NewYork,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.93,17328.24,2357.18,12692.21,9.47,2269.38,2269.38,0.0,0.0,organic,2015,NewYork,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.09,3759282.62,126640.65,2860709.93,7580.38,764351.66,669970.5,94381.16,0.0,conventional,2015,Northeast,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.86,48280.46,4476.73,22389.09,23.15,21391.49,21379.79,11.7,0.0,organic,2015,Northeast,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.05,321823.77,4966.76,264351.96,14.68,52490.37,52490.37,0.0,0.0,conventional,2015,NorthernNewEngland,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.83,6485.3,6.81,630.24,0.0,6664.25,6664.25,0.0,0.0,organic,2015,NorthernNewEngland,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.0,281803.19,190743.27,38265.21,75.22,52719.49,19933.7,32785.79,0.0,conventional,2015,Orlando,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.8,2057.29,1200.41,53.55,0.0,803.33,803.33,0.0,0.0,organic,2015,Orlando,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.1,407675.56,24190.91,294715.33,2121.45,86647.87,72829.94,13817.93,0.0,conventional,2015,Philadelphia,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.72,3788.6,384.3,1597.97,11.42,1794.91,4465.66,0.0,0.0,organic,2015,Philadelphia,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.65,1048062.16,770635.37,178418.32,12237.43,92499.06,92499.06,0.0,0.0,conventional,2015,PhoenixTucson,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.12,14035.18,14569.66,1868.59,0.0,858.6,830.0,28.6,0.0,organic,2015,PhoenixTucson,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.52,54956.8,3013.04,35456.88,1561.7,14925.18,11264.8,3660.38,0.0,conventional,2015,Pittsburgh,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.81,1339.36,754.0,124.33,0.0,461.03,447.01,14.02,0.0,organic,2015,Pittsburgh,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.01,1683795.3,1027842.3,466641.12,10476.89,178834.99,177360.2,440.57,1034.22,conventional,2015,Plains,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.69,34190.37,3874.31,14945.34,32.45,15338.27,13793.22,1545.05,0.0,organic,2015,Plains,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.97,510152.67,126485.75,377138.79,19781.57,76559.75,61308.73,15251.02,0.0,conventional,2015,Portland,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.28,32927.82,17580.96,11685.08,3.15,3658.63,613.33,3997.36,0.0,organic,2015,Portland,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.2,221086.46,53316.16,72178.46,39928.01,55663.83,44040.64,11623.19,0.0,conventional,2015,RaleighGreensboro,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,2.01,3397.0,58.22,1493.9,772.21,1072.67,993.94,78.73,0.0,organic,2015,RaleighGreensboro,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.13,182697.97,56293.75,80396.09,9762.41,36245.72,31778.36,4467.36,0.0,conventional,2015,RichmondNorfolk,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.54,4212.16,238.48,1678.83,372.55,1922.3,1570.28,352.02,0.0,organic,2015,RichmondNorfolk,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.13,109215.0,48285.15,37562.78,34.1,23332.97,21582.97,1750.0,0.0,conventional,2015,Roanoke,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.47,4414.29,56.21,2760.82,0.0,1597.26,806.48,457.84,0.0,organic,2015,Roanoke,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.05,430138.88,110693.69,270107.61,9737.5,39600.08,39600.08,0.0,0.0,conventional,2015,Sacramento,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.33,9213.49,3727.52,4327.52,0.0,1158.45,1158.45,0.0,0.0,organic,2015,Sacramento,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.94,461607.33,244152.26,165299.33,14125.01,36852.99,30884.29,5595.0,373.7,conventional,2015,SanDiego,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.23,19089.36,17522.46,735.22,2.87,828.81,828.81,0.0,0.0,organic,2015,SanDiego,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.99,907795.89,179507.69,637000.1,8803.79,82484.31,82033.71,444.44,6.16,conventional,2015,SanFrancisco,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.18,22630.58,13175.57,9028.34,0.0,426.67,426.67,0.0,0.0,organic,2015,SanFrancisco,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.06,634522.34,165839.16,341836.86,15291.36,111554.96,96695.27,14859.69,1.53,conventional,2015,Seattle,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.49,33795.91,6821.76,20720.77,13.48,6252.15,452.73,5799.42,0.0,organic,2015,Seattle,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.01,309024.22,180977.06,46253.49,12923.45,68870.22,52556.0,16314.22,0.0,conventional,2015,SouthCarolina,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.86,3351.76,355.79,754.78,439.19,1802.0,1768.67,3.32,0.0,organic,2015,SouthCarolina,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.77,5144267.01,2745009.1,1755142.21,73432.89,570682.81,442217.85,128451.37,13.59,conventional,2015,SouthCentral,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.35,53494.91,24139.72,8586.46,0.0,20768.73,20622.28,146.45,0.0,organic,2015,SouthCentral,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.98,3204112.16,2296069.27,320373.63,18938.42,568730.84,287820.14,280910.7,0.0,conventional,2015,Southeast,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.75,23690.65,9307.34,3844.81,615.28,13598.46,13061.1,537.36,0.0,organic,2015,Southeast,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.0,84612.39,26607.29,44341.92,3660.64,10002.54,9556.06,446.48,0.0,conventional,2015,Spokane,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.3,5782.7,723.29,4221.15,0.0,838.26,223.33,614.93,0.0,organic,2015,Spokane,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.15,198735.26,125713.89,34555.73,53.54,38412.1,38400.99,11.11,0.0,conventional,2015,StLouis,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.8,3597.07,1552.48,1521.26,0.0,523.33,523.33,0.0,0.0,organic,2015,StLouis,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.33,41143.51,2506.61,20905.01,16.68,17715.21,17715.21,0.0,0.0,conventional,2015,Syracuse,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.72,593.39,0.0,102.71,0.0,490.68,490.68,0.0,0.0,organic,2015,Syracuse,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.97,339909.13,226346.7,37517.53,53.15,75991.75,33447.51,42544.24,0.0,conventional,2015,Tampa,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.7,1885.48,748.62,30.19,0.0,1106.67,1106.67,0.0,0.0,organic,2015,Tampa,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.95,31324277.73,12357161.34,13624083.05,844093.32,4498940.02,3585321.58,894945.63,18672.81,conventional,2015,TotalUS,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.46,612910.15,233286.13,260971.6,4370.99,158641.83,115068.71,43573.12,0.0,organic,2015,TotalUS,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.89,5794410.58,2275446.87,2582300.65,97024.09,839638.97,688813.01,150819.57,6.39,conventional,2015,West,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.39,187548.3,70313.71,72942.11,24.3,44268.18,10023.72,34244.46,0.0,organic,2015,West,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.75,758118.95,426878.87,147958.43,15267.89,168013.76,165202.22,2811.54,0.0,conventional,2015,WestTexNewMexico,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.64,6182.81,1561.3,2958.17,0.0,1663.34,1663.34,0.0,0.0,organic,2015,WestTexNewMexico,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-11,1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0.0,conventional,2015,Albany,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.77,1182.56,39.0,305.12,0.0,838.44,838.44,0.0,0.0,organic,2015,Albany,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.11,397542.72,330411.24,18958.22,1135.18,47038.08,21309.61,25728.47,0.0,conventional,2015,Atlanta,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.84,3743.82,1613.69,1207.72,0.0,922.41,865.0,57.41,0.0,organic,2015,Atlanta,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.23,670231.94,51460.64,420837.82,42526.96,155406.52,151330.87,4075.65,0.0,conventional,2015,BaltimoreWashington,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.22,26008.88,12258.26,7094.53,490.24,6165.85,6165.85,0.0,0.0,organic,2015,BaltimoreWashington,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.18,57355.52,38112.34,10997.54,3321.89,4923.75,3295.11,1628.64,0.0,conventional,2015,Boise,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.44,2378.68,0.0,1923.4,0.0,455.28,170.0,285.28,0.0,organic,2015,Boise,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.1,437771.89,7193.87,320577.36,121.81,111524.61,111192.88,331.73,0.0,conventional,2015,Boston,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.94,2217.82,12.82,956.07,0.0,1248.93,1248.93,0.0,0.0,organic,2015,Boston,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.54,106221.32,1642.25,50985.2,79.61,53514.26,53514.26,0.0,0.0,conventional,2015,BuffaloRochester,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.59,2078.49,0.0,143.51,0.0,1934.98,1934.98,0.0,0.0,organic,2015,BuffaloRochester,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,0.92,5777334.9,2889591.29,2485720.1,103573.42,546047.53,510560.41,31874.03,3613.09,conventional,2015,California,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.1,158110.68,123712.51,25975.27,1.47,8421.43,8421.43,0.0,0.0,organic,2015,California,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.26,159942.68,31586.35,38118.77,40801.77,49435.79,38822.26,10613.53,0.0,conventional,2015,Charlotte,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,2.29,2390.22,155.92,969.82,832.7,431.78,1025.63,0.0,0.0,organic,2015,Charlotte,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.15,802874.94,31239.94,558487.79,133848.57,79298.64,74716.43,4539.25,42.96,conventional,2015,Chicago,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.79,12915.74,1426.75,10900.1,0.0,588.89,588.89,0.0,0.0,organic,2015,Chicago,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,0.92,201392.27,3612.86,153100.22,1203.53,43475.66,17035.73,26345.43,112.67,conventional,2015,CincinnatiDayton,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.32,11313.77,209.52,10352.17,0.0,752.08,310.62,1112.15,0.0,organic,2015,CincinnatiDayton,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,0.97,125742.48,64726.71,34844.49,7190.05,18981.23,16400.27,2458.67,122.29,conventional,2015,Columbus,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.68,4193.17,349.17,3226.58,0.0,617.42,444.17,695.91,0.0,organic,2015,Columbus,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,0.76,1128693.04,680572.11,348535.22,11900.83,87684.88,67857.83,34760.08,6.8,conventional,2015,DallasFtWorth,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.35,12126.63,7136.34,1353.62,0.0,3636.67,3636.67,0.0,0.0,organic,2015,DallasFtWorth,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.09,666579.35,110974.25,427723.2,5357.69,122524.21,85793.27,36703.98,26.96,conventional,2015,Denver,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.28,30682.77,8855.89,15070.85,24.8,6731.23,1699.95,5031.28,0.0,organic,2015,Denver,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.08,369694.27,108378.69,90104.73,76985.0,56696.63,48639.13,620.82,7436.68,conventional,2015,Detroit,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.87,6926.75,417.73,5637.76,0.0,871.26,329.5,541.76,0.0,organic,2015,Detroit,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.03,258979.63,972.96,127984.25,13798.9,42379.3,39193.44,2896.97,288.89,conventional,2015,GrandRapids,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.87,761.86,29.06,539.72,0.0,193.08,190.0,3.08,0.0,organic,2015,GrandRapids,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.1,3067638.32,416900.3,1818618.04,316856.73,515263.25,412976.97,91214.54,11071.74,conventional,2015,GreatLakes,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.69,58061.65,4362.25,44552.46,0.0,9146.94,7266.75,1880.19,0.0,organic,2015,GreatLakes,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.26,178735.25,32679.84,78778.96,582.3,64838.42,63840.09,998.33,0.0,conventional,2015,HarrisburgScranton,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.65,3882.88,90.15,288.15,0.0,3504.58,2528.08,0.0,0.0,organic,2015,HarrisburgScranton,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.38,232640.15,4365.27,143001.84,223.15,85049.89,83319.8,1730.09,0.0,conventional,2015,HartfordSpringfield,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,2.28,3463.61,79.31,3190.97,0.0,193.33,193.33,0.0,0.0,organic,2015,HartfordSpringfield,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,0.78,1062071.65,463272.52,441785.8,4094.47,152918.86,90299.85,25923.1,0.0,conventional,2015,Houston,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.26,7561.0,6142.35,818.65,0.0,600.0,600.0,0.0,0.0,organic,2015,Houston,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.25,138617.04,3024.88,100509.97,2048.78,33310.48,18466.87,14765.56,78.05,conventional,2015,Indianapolis,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.83,1410.31,95.46,921.79,0.0,393.06,357.75,35.31,0.0,organic,2015,Indianapolis,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.2,99757.17,57635.74,17025.48,529.41,24566.54,14862.7,9703.84,0.0,conventional,2015,Jacksonville,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.91,1248.89,978.49,24.55,5.85,240.0,240.0,0.0,0.0,organic,2015,Jacksonville,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,0.93,274481.48,126092.05,101653.19,9591.88,37144.36,36874.44,269.92,0.0,conventional,2015,LasVegas,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.54,6144.55,4027.3,2083.92,0.0,33.33,33.33,0.0,0.0,organic,2015,LasVegas,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,0.85,2713699.6,1786326.65,617233.39,58892.91,251246.65,260857.96,25111.74,3163.23,conventional,2015,LosAngeles,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.08,60232.63,52087.31,2063.44,0.0,6081.88,6081.88,0.0,0.0,organic,2015,LosAngeles,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.05,75129.36,2299.74,53313.74,237.88,19278.0,7964.88,11299.66,13.46,conventional,2015,Louisville,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.79,1435.48,0.0,1219.02,0.0,558.7,173.93,42.53,0.0,organic,2015,Louisville,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.28,342796.99,242922.42,36043.54,38.69,63792.34,35069.71,28722.63,0.0,conventional,2015,MiamiFtLauderdale,48.0,79.0,76.0,8.0,38.0,29.0,1
2015-01-11,1.85,1614.56,1091.28,49.95,0.0,473.33,473.33,0.0,0.0,organic,2015,MiamiFtLauderdale,48.0,79.0,76.0,8.0,38.0,29.0,1
