Week,avocado: (United States),organic: (United States),avocado recipe: (United States),avocado toast: (United States),avocado sandwich: (United States),organic avocado: (United States)
2017-01-15,56,89,67,31,56,27
2017-01-22,58,91,68,31,61,32
2017-01-29,60,91,82,27,51,23
2017-02-05,60,91,88,32,62,47
2017-02-12,49,87,63,27,46,26
2017-02-19,52,93,68,25,49,37
2017-02-26,51,94,64,28,43,35
2017-03-05,51,93,64,29,48,30
2017-03-12,52,89,63,29,63,45
2017-03-19,53,91,68,30,53,51
2017-03-26,52,95,59,27,58,39
2017-04-02,52,100,62,30,39,53
2017-04-09,54,96,71,29,47,36
2017-04-16,51,96,64,27,55,52
2017-04-23,57,97,67,32,53,40
2017-04-30,57,96,65,29,61,44
2017-05-07,61,93,75,34,72,45
2017-05-14,62,85,67,100,51,32
2017-05-21,57,84,61,72,50,29
2017-05-28,58,85,79,58,46,53
2017-06-04,56,86,72,49,51,30
2017-06-11,58,81,69,47,37,25
2017-06-18,60,81,72,48,62,39
2017-06-25,57,82,74,54,48,46
2017-07-02,59,80,83,46,52,35
2017-07-09,60,84,74,50,51,39
2017-07-16,60,87,84,49,60,47
2017-07-23,57,81,70,49,53,31
2017-07-30,60,83,72,47,58,47
2017-08-06,56,79,73,45,59,33
2017-08-13,55,77,58,47,43,36
2017-08-20,51,76,55,45,47,40
2017-08-27,47,86,73,40,48,29
2017-09-03,46,83,59,37,57,27
2017-09-10,43,87,55,39,50,37
2017-09-17,45,89,47,32,48,35
2017-09-24,40,89,48,32,34,34
2017-10-01,40,87,52,30,26,35
2017-10-08,39,85,39,29,42,40
2017-10-15,41,87,48,31,45,27
2017-10-22,43,87,53,33,39,32
2017-10-29,40,84,52,38,40,51
2017-11-05,42,83,52,36,47,34
2017-11-12,41,87,54,33,44,35
2017-11-19,36,73,54,33,29,41
2017-11-26,37,80,48,30,33,44
2017-12-03,44,80,48,33,38,32
2017-12-10,42,83,53,37,44,37
2017-12-17,43,70,62,31,36,41
2017-12-24,47,66,61,34,36,38
2017-12-31,60,78,87,58,44,42
2018-01-07,62,84,86,57,59,43
2018-01-14,62,87,65,60,57,53
2018-01-21,63,91,84,63,70,39
2018-01-28,68,92,78,58,72,54
2018-02-04,68,90,83,54,59,45
2018-02-11,58,86,72,52,40,38
2018-02-18,59,86,69,57,59,56
2018-02-25,62,88,68,56,70,37
2018-03-04,64,85,68,51,66,52
2018-03-11,58,85,71,52,56,44
2018-03-18,61,86,68,53,48,29
2018-03-25,64,84,78,61,52,48
2018-04-01,63,83,67,58,61,49
2018-04-08,68,88,76,57,77,33
2018-04-15,68,91,83,60,69,39
2018-04-22,68,94,70,52,100,45
2018-04-29,71,89,82,55,75,35
2018-05-06,73,89,83,63,67,43
2018-05-13,65,83,83,49,81,33
2018-05-20,65,83,84,48,66,61
2018-05-27,65,84,91,55,72,53
2018-06-03,66,83,92,49,69,50
2018-06-10,69,81,84,56,67,48
2018-06-17,68,77,86,54,50,46
2018-06-24,66,79,81,52,58,42
2018-07-01,72,75,100,57,55,71
2018-07-08,73,77,97,62,61,48
2018-07-15,71,78,92,61,63,46
2018-07-22,69,79,88,56,64,76
2018-07-29,78,78,93,65,59,58
2018-08-05,65,76,85,51,66,47
2018-08-12,65,81,81,49,58,60
2018-08-19,62,79,79,49,50,57
2018-08-26,60,81,68,43,36,41
2018-09-02,59,84,63,42,54,34
2018-09-09,52,83,57,37,41,32
2018-09-16,51,88,56,38,32,64
2018-09-23,50,86,56,43,45,30
2018-09-30,51,83,55,38,51,47
2018-10-07,47,81,48,37,48,37
2018-10-14,47,82,51,42,42,50
2018-10-21,47,83,53,43,47,51
2018-10-28,46,76,56,35,35,33
2018-11-04,45,78,47,38,47,20
2018-11-11,45,80,49,38,39,45
2018-11-18,41,70,47,29,28,35
2018-11-25,41,80,43,31,45,37
2018-12-02,43,79,46,38,36,53
2018-12-09,43,81,50,35,44,34
2018-12-16,43,73,60,37,34,12
2018-12-23,50,63,55,42,27,56
2018-12-30,63,74,81,64,54,43
2019-01-06,73,85,88,68,61,67
2019-01-13,73,86,94,66,65,49
2019-01-20,68,86,95,79,60,49
2019-01-27,73,88,97,69,54,39
2019-02-03,71,87,90,58,53,41
2019-02-10,61,82,73,53,47,43
2019-02-17,64,86,64,60,58,47
2019-02-24,62,85,62,76,53,46
2019-03-03,64,85,72,62,55,62
2019-03-10,62,86,63,58,57,34
2019-03-17,62,84,65,55,58,56
2019-03-24,100,87,65,57,64,100
2019-03-31,75,89,67,61,48,39
2019-04-07,65,87,68,59,47,41
2019-04-14,62,87,71,58,49,28
2019-04-21,59,86,61,50,48,48
2019-04-28,59,88,58,50,44,46
2019-05-05,62,86,69,49,45,61
2019-05-12,61,82,72,59,59,51
2019-05-19,60,80,67,50,68,37
2019-05-26,65,81,70,55,67,47
2019-06-02,61,83,62,58,74,38
2019-06-09,62,82,66,57,60,55
2019-06-16,59,80,70,51,56,41
2019-06-23,57,79,71,53,45,56
2019-06-30,61,73,80,52,62,35
2019-07-07,58,76,66,55,51,42
2019-07-14,60,76,68,53,50,43
2019-07-21,60,74,68,56,54,49
2019-07-28,66,74,79,55,46,36
